Time,bit-x,bitbay,bitfinex,bitflyer,bithumb,bitstamp,coinbase,gemini,kraken,others
2019-06-14 08:00:00 UTC,704.0326,118.39134403,696.386515629998,247.980273050001,231.46906327,419.93139446,379.76117836,25.0452079509,532.0455305,220.83602508471176
2019-06-14 09:00:00 UTC,651.0363,97.8110877899999,486.978058349999,293.746272729999,181.36357388,602.3597329,423.42339097,16.5649980269,332.25935527,160.47854359989466
2019-06-14 10:00:00 UTC,674.5961,84.70732678,794.673646639999,191.0484977,141.30520522,447.140324090001,281.50860544,13.5302825401,327.53648821,166.75649082932205
2019-06-14 11:00:00 UTC,555.4699,105.0561112,237.49386019,140.65157989,90.8350009300001,280.23885782,216.04154169,15.3517424193,203.39709467,144.04166559724828
2019-06-14 12:00:00 UTC,678.9602,185.38435178,932.928983489995,390.37157876,329.12755711,811.86513896,974.023885509999,86.2351009609,751.2613592,257.85856286585897
2019-06-14 13:00:00 UTC,526.2681,144.52155963,1192.4245145,589.310790849996,458.458128259999,753.592070089999,1485.27504703,79.7997889221,1321.02224043,389.1419967428006
2019-06-14 14:00:00 UTC,477.1385,189.59076685,666.521960739994,241.66181279,223.65614063,469.8213848,694.608679489999,66.5588193885001,733.69677655,282.0443528061186
2019-06-14 15:00:00 UTC,507.6886,211.42422126,352.229394369999,227.60023167,188.19571679,688.29857637,1169.10463109,104.5973005356,730.065381990001,257.3907891809709
2019-06-14 16:00:00 UTC,682.5163,116.97070637,339.548826669999,175.63450012,170.65238523,416.75612149,634.12179646,81.0881018653,541.91201973,271.007089156329
2019-06-14 17:00:00 UTC,734.1056,126.87432089,141.22207696,64.15931933,57.26490526,183.99786952,377.981930499999,27.145308254,402.107693629999,134.04614409711598
2019-06-14 18:00:00 UTC,719.8225,78.29438324,97.8836286900001,58.19937323,66.7521716900001,90.0635598199999,480.524435049999,32.8396244001,285.876372160001,164.65862992558002
2019-06-14 19:00:00 UTC,664.4187,76.1867749700001,282.157673859999,82.0097951500001,75.41552785,173.86173197,776.443438179998,53.0658210323,347.757756459997,136.44710398999996
2019-06-14 20:00:00 UTC,643.3883,58.03528566,218.8022204,120.22563047,65.08237723,221.79107788,455.184788289999,155.7001758515,651.47868004,140.07273475000002
2019-06-14 21:00:00 UTC,575.1157,588.48993374,2078.42602928005,784.640021689994,555.497925149998,1667.18308816,2413.94110301998,282.246504445,2006.24856847004,445.8721751492852
2019-06-14 22:00:00 UTC,507.5451,260.84925406,981.922124649989,436.598302179999,220.71157438,553.565851259999,1120.02479475,103.4596265227,1173.64218284,275.42725743642364
2019-06-14 23:00:00 UTC,555.4252,284.33467403,647.218274649994,302.201787839999,187.70710972,352.52171321,1076.96102216,72.8530383904,802.69653419001,187.41494202335133
2019-06-15 00:00:00 UTC,641.6325,53.69456097,385.112755839997,272.818824099999,315.65367542,218.78966075,721.887325549998,58.1338425055,568.202836259999,230.79501060969
2019-06-15 01:00:00 UTC,724.8203,37.60604048,157.42505649,155.09667691,161.25831804,252.83751256,429.270268360001,31.0418033498,214.23705543,226.20965825689086
2019-06-15 02:00:00 UTC,591.7558,77.3099268499999,270.049139029999,188.79328228,108.94088177,356.29984131,320.24683807,13.2041389999,198.96194367,160.3230317032029
2019-06-15 03:00:00 UTC,645.4131,25.03221464,122.4956787,107.06139235,82.2095908000002,176.81182873,668.243263679999,31.6643635188,129.86162891,127.20066117543237
2019-06-15 04:00:00 UTC,681.1181,93.47128128,113.00051341,86.45452292,85.5033697700002,93.8354897600001,174.98051141,20.8346139114,156.50913692,69.38998910326427
2019-06-15 05:00:00 UTC,537.2581,89.72310908,304.940880589998,203.87832274,116.59817866,201.89156115,270.74565977,16.9601566033,384.26276677,109.75275691795666
2019-06-15 06:00:00 UTC,538.1345,87.6989618200001,863.232396619994,458.116757409998,217.76535472,503.97700578,687.328035449999,82.9985109961,615.85837065,233.1661125274835
2019-06-15 07:00:00 UTC,499.0565,86.99011501,343.40340467,151.41005082,120.5559559,290.54363835,299.78361097,19.074834247,241.05056653,145.4075958879515
2019-06-15 08:00:00 UTC,502.815,85.0021151,247.47217616,113.89450586,52.94008278,176.99857622,199.28384624,12.2684875509,199.05788315,95.03243237056188
2019-06-15 09:00:00 UTC,661.5774,64.30210757,206.35041209,102.50906791,74.20686255,139.00978006,195.36840014,41.8812629346,242.75173591,90.05764269698481
2019-06-15 10:00:00 UTC,692.6133,85.21447192,176.61641851,145.48828056,63.65301369,184.83800135,184.45130892,8.4545645506,334.44724845,117.86675556999998
2019-06-15 11:00:00 UTC,707.3095,59.88746613,193.19769891,93.3896179299998,36.79444431,123.03491506,246.19106504,10.1092690928,273.54465193,77.48936265172362
2019-06-15 12:00:00 UTC,708.5321,141.87090689,122.52855095,197.175383599998,52.3295146199999,188.29251908,329.89153299,12.4686463716,214.548706,103.6917155013
2019-06-15 13:00:00 UTC,689.7936,121.07025064,142.19298526,172.83948203,166.45295408,163.84126676,320.65785812,13.0701059876,164.6449004,110.9042876470304
2019-06-15 14:00:00 UTC,672.0202,51.25835041,212.080000179999,227.96947179,95.3906270499999,152.73945681,443.78963395,42.5951616768,392.38446118,100.49287818651004
2019-06-15 15:00:00 UTC,724.731,83.57128079,1317.39830734004,634.629406759997,327.701960859999,531.69284199,1530.70226066999,64.4056934524,838.147310049999,252.00800902500376
2019-06-15 16:00:00 UTC,376.8313,79.1183053499999,1164.18629736,477.487927319996,14.4988,572.464888889999,1276.33619025,99.8980364775,1086.26034266,308.9266440410274
